+-----------+------+--------+-------+-----------+
| series id | year | period | value | footnotes |
+-----------+------+--------+-------+-----------+
|   WPSFD4  | 2019 |  M12   | 119.0 |           |
|   WPSFD4  | 2019 |  M11   | 118.6 |           |
|   WPSFD4  | 2019 |  M10   | 118.7 |           |
|   WPSFD4  | 2019 |  M09   | 118.3 |           |
|   WPSFD4  | 2019 |  M08   | 118.6 |           |
|   WPSFD4  | 2019 |  M07   | 118.4 |           |
|   WPSFD4  | 2019 |  M06   | 118.2 |           |
|   WPSFD4  | 2019 |  M05   | 118.3 |           |
|   WPSFD4  | 2019 |  M04   | 118.2 |           |
|   WPSFD4  | 2019 |  M03   | 117.6 |           |
|   WPSFD4  | 2019 |  M02   | 117.2 |           |
|   WPSFD4  | 2019 |  M01   | 117.0 |           |
|   WPSFD4  | 2018 |  M12   | 117.4 |           |
|   WPSFD4  | 2018 |  M11   | 117.4 |           |
|   WPSFD4  | 2018 |  M10   | 117.5 |           |
|   WPSFD4  | 2018 |  M09   | 116.7 |           |
|   WPSFD4  | 2018 |  M08   | 116.5 |           |
|   WPSFD4  | 2018 |  M07   | 116.4 |           |
|   WPSFD4  | 2018 |  M06   | 116.3 |           |
|   WPSFD4  | 2018 |  M05   | 115.9 |           |
|   WPSFD4  | 2018 |  M04   | 115.5 |           |
|   WPSFD4  | 2018 |  M03   | 115.3 |           |
|   WPSFD4  | 2018 |  M02   | 115.1 |           |
|   WPSFD4  | 2018 |  M01   | 114.8 |           |
|   WPSFD4  | 2017 |  M12   | 114.4 |           |
|   WPSFD4  | 2017 |  M11   | 114.3 |           |
|   WPSFD4  | 2017 |  M10   | 113.9 |           |
|   WPSFD4  | 2017 |  M09   | 113.5 |           |
|   WPSFD4  | 2017 |  M08   | 113.1 |           |
|   WPSFD4  | 2017 |  M07   | 112.7 |           |
|   WPSFD4  | 2017 |  M06   | 112.6 |           |
|   WPSFD4  | 2017 |  M05   | 112.5 |           |
|   WPSFD4  | 2017 |  M04   | 112.6 |           |
